group,subject,subjectType,condition,task,PS1,PS2,PS3,M1,M2,OE1,OE2,PTDP1,PTDP2,PTDP3,PTDP4,PTDP5,PTDP6,PDOQ1,PDOQ2,PDOQ3,PDOQ4,PDOQ5,PA1,PA2,PA3,PA4,NASA1,NASA2,NASA3,NASA4,NASA5,NASA6
6,24,minority,B,2,4,5,4,4,4,4,5,5,5,5,4,4,5,5,4,5,5,5,5,5,4,4,4,3,3,5,5,5
7,25,majority,A,2,5,4,5,4,3,4,5,5,5,4,5,4,4,5,4,4,5,4,4,4,4,5,3,4,3,5,4,5
7,25,majority,B,1,6,5,6,2,2,5,5,5,6,5,6,5,6,5,6,5,6,5,5,6,5,6,2,3,3,5,6,6
7,26,majority,A,2,5,4,4,3,4,4,5,4,4,4,4,4,5,5,4,5,4,5,5,5,4,5,3,3,3,5,4,5
7,26,majority,B,1,5,5,5,3,3,5,6,6,5,5,6,5,5,6,5,5,5,6,6,6,6,6,2,2,3,5,5,5
7,27,majority,A,2,4,4,4,3,3,4,5,4,5,5,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,5,5,4
7,27,majority,B,1,6,5,6,3,2,5,6,5,6,5,6,5,5,6,5,5,6,6,6,5,6,5,2,3,2,6,6,6
7,28,minority,A,2,3,4,3,4,5,4,3,3,4,3,4,4,4,3,4,4,4,3,3,3,3,4,4,5,4,3,4,4
7,28,minority,B,1,5,4,4,4,4,5,4,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,3,3,4,5,4,5
8,29,majority,A,2,5,5,4,3,3,5,5,4,4,4,4,4,5,4,4,5,4,5,4,5,4,4,4,3,4,4,5,4
8,29,majority,B,1,6,6,5,2,3,6,5,5,5,5,5,5,5,5,6,6,6,6,5,6,5,5,2,3,3,5,5,6
8,30,majority,A,2,4,4,4,3,3,5,5,5,5,5,5,5,4,4,5,4,4,5,4,4,5,4,3,3,3,5,4,4
8,30,majority,B,1,6,6,5,2,2,5,5,6,5,5,5,5,5,6,5,5,5,5,6,6,5,5,3,3,2,6,6,6
8,31,majority,A,2,5,4,4,3,3,4,4,4,5,5,5,5,5,4,5,5,5,5,4,4,4,5,3,3,3,5,5,4
8,31,majority,B,1,6,6,6,3,3,6,5,5,5,5,5,5,6,5,6,5,5,5,6,6,6,6,3,3,3,6,5,5
8,32,minority,A,2,3,4,3,4,4,4,4,3,3,3,4,3,4,4,4,4,3,4,3,3,4,3,4,4,5,4,3,3
8,32,minority,B,1,5,5,5,4,3,4,5,5,5,5,5,4,4,4,4,4,4,5,4,5,5,4,3,4,3,4,4,4
9,33,majority,A,2,5,5,5,3,3,4,5,5,5,4,4,4,4,4,4,5,5,4,4,5,4,4,3,4,3,4,5,5
9,33,majority,B,1,6,5,6,3,3,6,5,5,6,6,6,5,5,6,6,6,6,5,6,6,6,5,3,2,2,6,6,5
9,34,majority,A,2,4,5,4,4,4,4,5,4,5,5,5,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4
9,34,majority,B,1,5,6,6,3,2,5,5,5,5,6,6,5,6,6,6,5,6,5,5,5,5,6,2,3,2,5,5,5
9,35,majority,A,2,5,5,5,3,4,4,5,4,4,5,5,5,4,4,4,5,5,5,5,4,5,4,3,3,4,5,5,5
9,35,majority,B,1,5,6,5,2,3,5,5,5,6,6,6,5,5,6,6,6,5,5,5,5,5,6,3,2,2,6,5,6
9,36,minority,A,2,3,3,4,5,5,3,3,3,4,4,4,3,4,3,3,3,4,4,3,4,4,3,5,4,5,4,4,3
9,36,minority,B,1,5,5,4,3,3,5,5,5,4,4,4,4,4,5,4,4,5,4,5,5,5,4,4,4,3,5,5,4
10,37,majority,A,2,5,4,4,4,4,5,4,4,4,4,5,5,4,5,4,4,5,4,5,5,5,4,4,3,3,5,5,4
10,37,majority,B,1,5,5,6,3,3,5,5,6,5,5,5,6,5,5,5,5,5,5,5,6,6,5,2,3,3,6,5,5
10,38,majority,A,2,4,4,4,3,4,4,5,4,4,4,5,5,5,5,4,4,4,5,4,4,5,4,4,3,4,5,5,5
10,38,majority,B,1,5,5,5,2,2,6,6,5,5,6,6,6,5,6,6,5,6,6,5,6,6,6,3,3,2,5,6,6
10,39,majority,A,2,4,4,5,4,4,5,4,4,4,4,5,5,4,5,4,5,5,4,5,4,5,5,3,4,3,4,4,5
10,39,majority,B,1,6,6,5,2,2,5,5,6,6,6,5,5,5,6,5,5,5,6,6,5,5,6,3,2,2,5,6,6
10,40,minority,A,2,3,4,4,4,5,4,3,4,3,3,3,4,4,3,3,4,3,4,4,4,3,4,4,5,5,4,3,4
10,40,minority,B,1,4,4,5,4,4,5,4,4,4,5,4,5,4,4,5,5,4,5,4,5,4,4,3,4,3,5,4,4
11,41,majority,A,2,5,5,4,3,3,4,4,5,4,5,5,4,4,5,4,5,5,4,5,4,4,4,4,4,4,5,4,5
11,41,majority,B,1,6,5,6,3,2,6,5,5,5,6,6,5,5,6,6,6,6,6,5,5,6,6,3,2,3,6,5,6
11,42,majority,A,2,4,4,5,4,3,5,5,4,4,4,5,5,5,4,4,4,5,4,5,4,4,5,3,4,4,4,5,4
11,42,majority,B,1,6,5,6,3,2,5,5,5,6,5,5,6,5,5,5,6,5,6,5,6,6,5,2,3,2,5,5,5
11,43,majority,A,2,5,5,4,4,3,4,5,4,4,4,5,4,4,5,4,4,5,4,5,4,4,4,4,3,3,5,5,5
11,43,majority,B,1,5,6,6,2,3,6,5,6,5,5,5,6,5,5,6,5,6,6,5,5,6,5,3,3,2,5,6,6
11,44,minority,A,2,3,4,4,5,5,3,3,4,4,3,3,4,4,4,4,3,3,4,3,4,4,3,4,4,4,3,4,4
11,44,minority,B,1,4,5,5,3,4,5,4,5,4,4,5,4,4,5,5,4,4,4,4,5,4,4,3,4,4,5,5,4
12,45,majority,A,2,5,5,4,3,4,5,5,5,5,5,5,4,5,5,4,4,5,5,4,4,5,5,4,4,3,5,5,5
12,45,majority,B,1,6,6,5,2,3,5,5,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,2,2,2,6,6,5
12,46,majority,A,2,5,4,5,3,3,5,5,5,4,5,5,5,5,4,4,4,4,4,4,5,5,5,3,4,3,5,4,4
12,46,majority,B,1,5,5,5,3,3,6,5,6,5,6,5,5,6,6,6,6,5,6,6,6,5,5,2,2,2,5,5,6
12,47,majority,A,2,4,5,4,3,4,5,5,4,5,4,5,4,4,4,5,5,5,4,4,5,4,5,3,4,3,4,4,4
12,47,majority,B,1,5,6,5,3,2,6,5,6,5,5,6,6,5,5,5,5,6,6,6,5,6,5,3,2,3,5,5,6
12,48,minority,A,2,4,3,4,4,4,3,3,4,4,3,3,4,3,4,3,3,4,4,4,3,3,3,5,5,5,3,3,3
12,48,minority,B,1,4,4,4,3,4,4,5,4,5,5,4,4,4,4,4,5,4,5,5,5,5,5,3,3,3,4,5,4
13,49,majority,A,1,5,4,5,4,4,5,5,4,5,4,5,4,5,4,4,4,4,4,5,5,5,5,3,4,3,4,5,5
13,49,majority,C,2,7,6,6,1,1,6,7,6,7,6,6,6,7,7,6,7,6,6,6,7,6,6,1,2,1,7,6,6
13,50,majority,A,1,4,5,5,3,4,5,5,4,4,4,4,5,5,4,4,4,5,4,4,4,5,5,3,3,3,5,5,5
13,50,majority,C,2,7,7,7,2,2,6,6,6,6,6,7,7,7,6,6,6,6,6,6,7,7,6,2,2,1,6,7,7
13,51,majority,A,1,4,4,5,3,3,5,5,4,4,5,4,5,4,5,5,4,4,4,4,5,5,5,4,4,3,4,4,5
13,51,majority,C,2,6,6,6,1,2,7,7,7,6,7,7,6,7,6,7,7,6,7,6,6,6,7,2,1,2,7,6,6
13,52,minority,A,1,4,4,4,4,4,3,3,3,4,3,4,3,3,3,4,4,4,4,4,4,4,3,4,5,4,3,4,4
13,52,minority,C,2,5,6,5,2,2,6,5,5,6,5,6,6,6,5,5,6,6,5,5,5,6,6,2,2,3,5,5,6
14,53,majority,A,1,4,5,5,3,3,4,4,5,5,5,4,4,4,5,5,4,4,5,4,4,5,5,4,4,3,4,4,4
14,53,majority,C,2,7,7,6,2,2,7,7,7,6,7,6,7,7,7,7,7,7,7,7,6,7,7,1,2,2,7,6,7
14,54,majority,A,1,5,5,5,4,4,4,4,5,4,4,4,5,4,4,5,4,4,5,5,5,5,4,4,4,3,5,4,5
14,54,majority,C,2,6,7,7,1,2,6,7,7,6,7,6,6,7,6,7,6,6,7,6,7,7,6,1,1,1,6,6,6
14,55,majority,A,1,4,4,5,3,4,4,4,4,5,4,4,4,5,4,4,4,4,5,5,4,5,5,4,3,4,4,5,4
14,55,majority,C,2,7,6,6,1,1,6,6,6,6,6,6,6,7,6,6,7,7,7,6,6,6,6,2,1,2,7,7,7
14,56,minority,A,1,3,4,3,5,5,4,3,4,3,4,3,3,4,3,4,4,3,4,3,4,3,3,4,4,4,4,3,4
14,56,minority,C,2,5,6,5,3,3,5,6,6,5,5,5,5,5,5,5,6,5,5,5,5,5,6,2,2,2,6,6,5
15,57,majority,A,1,4,4,5,3,3,4,4,5,4,4,5,5,4,4,4,4,5,5,4,5,4,5,3,3,3,4,5,5
15,57,majority,C,2,7,7,7,1,1,6,7,7,7,6,7,7,6,7,7,7,6,7,6,6,7,7,1,1,2,7,6,7
15,58,majority,A,1,5,5,5,4,3,5,4,5,4,4,5,4,5,5,5,5,4,5,4,5,5,4,3,4,4,5,4,4
15,58,majority,C,2,6,7,6,1,1,6,6,6,7,7,6,6,7,6,6,6,7,7,7,6,7,6,1,2,2,7,7,6
15,59,majority,A,1,4,5,4,3,3,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,3,3,3,4,4,4
15,59,majority,C,2,7,6,7,1,1,6,7,7,7,7,6,7,6,7,7,7,6,6,6,7,6,6,2,1,2,6,7,6
15,60,minority,A,1,4,4,4,4,5,3,4,3,4,4,4,3,3,3,4,3,4,4,3,3,4,3,4,5,5,3,4,4
15,60,minority,C,2,6,6,6,3,3,6,5,5,5,5,6,5,5,6,5,5,6,6,6,6,5,5,2,3,3,6,6,6
16,61,majority,A,1,5,4,5,3,4,5,4,4,4,5,4,4,4,5,5,4,5,4,5,4,4,5,3,4,4,4,5,4
16,61,majority,C,2,7,7,6,1,2,7,6,7,7,7,7,7,6,6,7,6,7,7,6,6,6,6,2,1,1,7,7,7
16,62,majority,A,1,4,5,4,4,4,4,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,4,3,4,4,5,5,5
16,62,majority,C,2,6,7,7,2,1,7,6,6,6,7,6,7,7,7,6,7,7,6,7,6,6,7,1,1,2,6,7,7
16,63,majority,A,1,5,4,5,3,3,5,5,5,5,5,5,4,5,4,4,4,4,5,5,4,5,4,3,3,3,4,4,4
16,63,majority,C,2,6,7,6,1,2,6,6,7,6,7,7,7,7,6,6,6,7,6,7,7,7,6,2,1,2,7,6,6
16,64,minority,A,1,3,4,4,5,4,4,3,4,3,4,4,4,4,4,4,3,4,3,3,4,3,4,5,5,4,3,3,4
16,64,minority,C,2,6,6,5,3,3,5,6,5,5,5,6,6,6,5,6,6,5,6,5,6,6,5,3,2,2,5,6,5
17,65,majority,A,1,4,4,5,3,4,4,5,4,4,5,4,5,4,5,4,4,4,5,5,4,5,4,4,3,3,4,5,4
17,65,majority,C,2,6,6,7,2,2,7,6,6,6,6,6,7,7,6,6,7,6,6,7,6,6,7,2,2,2,7,7,7
17,66,majority,A,1,4,4,5,3,3,5,5,4,4,4,4,4,4,4,4,5,4,4,5,4,5,4,3,3,3,5,4,5
17,66,majority,C,2,6,6,6,1,1,7,6,7,6,6,6,7,7,6,7,7,7,6,7,7,7,7,1,1,1,7,7,6
17,67,majority,A,1,4,4,5,4,4,4,4,4,4,4,5,5,4,4,5,5,4,4,5,5,5,4,3,3,3,5,5,5
17,67,majority,C,2,6,6,7,2,2,6,7,7,7,7,7,6,6,7,7,6,6,6,6,6,7,7,2,1,1,7,7,7
17,68,minority,A,1,3,3,3,4,5,3,3,3,3,3,3,4,3,4,4,3,3,3,3,4,4,3,5,4,4,3,3,3
17,68,minority,C,2,6,5,6,3,3,6,5,6,5,6,5,5,6,5,5,6,5,6,5,5,6,5,2,2,2,5,5,5
18,69,majority,A,1,5,4,5,3,3,5,4,4,5,4,5,5,4,5,5,5,4,5,4,5,4,5,4,3,3,5,5,4
18,69,majority,C,2,7,6,6,1,1,6,7,6,6,7,7,7,6,7,7,6,7,7,7,7,6,7,1,2,1,7,7,7
18,70,majority,A,1,5,5,4,3,4,5,4,5,4,4,5,4,5,5,5,4,4,5,4,5,4,4,4,3,3,4,5,5
18,70,majority,C,2,7,7,7,1,2,6,6,6,6,7,6,6,7,6,7,7,6,6,6,7,7,7,2,2,2,6,7,6
18,71,majority,A,1,4,5,5,4,3,5,4,5,4,4,5,5,4,5,5,4,4,4,4,5,4,4,3,4,4,5,5,5
18,71,majority,C,2,7,6,6,2,1,6,6,6,7,6,6,6,6,7,6,6,7,7,6,7,7,6,1,1,2,6,7,6
18,72,minority,A,1,3,4,3,5,5,3,4,3,3,3,4,3,4,4,3,3,4,4,3,3,4,3,4,5,5,4,4,4
18,72,minority,C,2,5,5,6,2,3,5,6,6,6,5,5,5,5,5,5,5,5,6,6,6,5,6,3,2,3,6,6,5
19,73,majority,A,2,5,4,5,4,4,4,4,5,5,5,4,4,4,5,4,5,5,4,4,5,5,5,3,3,3,5,4,5
19,73,majority,C,1,6,6,6,2,2,6,7,6,6,7,7,6,6,6,7,6,6,6,7,7,7,7,2,2,1,6,7,6
19,74,majority,A,2,5,5,5,4,4,5,4,4,4,4,5,5,4,4,5,4,4,4,5,5,5,5,3,3,4,4,5,5
19,74,majority,C,1,6,6,6,1,1,7,7,6,6,7,7,6,7,6,7,7,6,6,6,6,7,7,2,2,2,6,7,7
19,75,majority,A,2,4,5,4,3,3,4,4,4,5,4,5,5,4,4,4,4,5,5,5,4,5,5,3,3,4,4,5,4
19,75,majority,C,1,6,6,7,2,2,7,7,7,7,6,6,6,7,6,6,6,6,6,7,7,6,6,1,2,2,7,7,6
19,76,minority,A,2,3,4,3,5,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,5,5,4,4,3,4
19,76,minority,C,1,6,5,6,3,2,5,6,6,5,6,5,5,6,5,5,5,6,6,6,6,5,6,2,2,3,5,5,6
20,77,majority,A,2,5,4,4,3,4,5,5,5,5,4,5,4,5,5,4,5,5,4,4,5,4,5,4,4,4,5,4,4
20,77,majority,C,1,7,6,6,2,1,6,6,7,6,6,6,6,6,7,6,6,7,7,6,6,6,7,2,2,2,6,6,7
20,78,majority,A,2,4,4,5,3,3,5,4,5,4,5,5,4,4,4,4,4,5,4,4,4,4,5,3,4,4,5,5,5
20,78,majority,C,1,6,7,6,2,2,6,6,6,6,6,6,7,6,6,6,7,7,6,7,7,6,7,1,1,2,6,6,6
20,79,majority,A,2,5,5,4,4,4,4,4,4,4,4,5,4,4,5,4,5,4,4,4,4,5,5,3,3,4,5,4,5
20,79,majority,C,1,6,6,7,1,2,7,7,7,6,6,6,7,6,6,7,7,7,6,7,6,7,7,2,2,1,6,6,7
20,80,minority,A,2,4,3,4,5,4,4,3,3,3,4,4,4,3,3,4,4,3,4,3,4,3,4,4,4,5,3,4,3
20,80,minority,C,1,6,5,5,3,2,5,6,5,5,5,5,6,6,5,5,5,5,5,5,5,6,5,2,3,2,5,5,6
21,81,majority,A,2,5,5,5,4,3,4,4,4,4,4,4,5,4,4,5,4,5,5,4,5,5,4,4,4,4,5,4,5
21,81,majority,C,1,6,6,6,1,1,7,7,6,7,6,6,6,7,6,7,6,6,7,7,7,7,6,2,1,2,7,6,6
21,82,majority,A,2,5,4,4,4,4,4,4,5,5,5,4,4,4,4,5,4,5,5,4,4,5,5,4,3,3,5,5,5
21,82,majority,C,1,7,7,7,1,2,7,7,6,6,6,7,7,6,6,7,6,6,6,6,7,6,7,2,2,2,7,7,7
21,83,majority,A,2,4,4,5,4,3,5,4,4,5,4,4,5,4,5,4,4,5,5,4,5,4,4,3,4,4,5,5,4
21,83,majority,C,1,6,7,6,1,2,7,6,6,7,6,7,7,7,6,6,6,6,6,6,6,6,7,2,2,2,6,7,7
21,84,minority,A,2,4,3,4,4,5,4,3,4,4,4,4,4,3,3,4,4,4,3,3,4,3,3,5,4,5,4,4,4
21,84,minority,C,1,6,6,5,3,3,5,5,6,6,5,5,5,5,5,6,5,6,5,6,5,5,6,3,2,2,5,6,6
22,85,majority,A,2,5,4,5,4,4,5,5,5,5,4,4,5,5,4,5,5,5,4,4,4,4,5,3,3,3,5,4,4
22,85,majority,C,1,7,7,6,2,1,6,7,7,6,7,7,7,6,6,7,6,7,6,6,6,6,7,2,2,2,7,7,6
22,86,majority,A,2,4,4,4,3,3,4,4,5,4,5,5,5,4,4,5,5,4,4,4,4,4,4,3,4,4,4,4,4
22,86,majority,C,1,6,7,6,2,2,6,7,6,6,6,6,6,7,6,6,6,7,7,6,7,7,7,2,1,2,7,6,6
22,87,majority,A,2,4,4,4,3,4,5,4,4,5,5,4,4,5,5,4,5,4,4,5,4,5,4,4,4,3,4,4,5
22,87,majority,C,1,6,7,6,1,1,6,6,7,6,6,6,6,6,7,7,7,7,6,7,7,6,7,2,2,2,7,6,6
22,88,minority,A,2,4,3,4,4,5,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,4,4,4,5,5,4,3,4
22,88,minority,C,1,5,5,5,3,2,5,6,5,5,6,6,5,5,5,5,5,6,6,6,6,5,6,2,2,3,5,5,6
23,89,majority,A,2,5,4,5,3,3,4,4,4,5,5,5,5,5,5,4,4,4,5,4,4,5,4,4,4,4,5,4,5
23,89,majority,C,1,6,6,7,2,1,7,7,7,7,7,7,6,6,6,7,7,6,6,7,7,6,6,1,2,1,7,7,7
23,90,majority,A,2,4,4,4,3,3,5,4,4,5,4,5,4,5,4,5,4,5,5,4,4,5,5,4,3,4,5,4,4
23,90,majority,C,1,6,6,7,1,1,7,6,7,7,7,6,7,6,7,7,6,7,7,7,6,6,6,1,1,1,7,7,6
23,91,majority,A,2,5,5,5,4,3,4,4,5,5,4,4,5,4,4,5,5,5,5,4,4,4,4,3,4,3,4,5,5
23,91,majority,C,1,6,6,6,1,1,6,7,7,6,6,6,6,6,7,7,7,6,6,7,6,6,6,1,1,1,6,7,6
23,92,minority,A,2,4,4,4,4,4,3,3,4,3,4,3,4,3,3,4,3,4,4,4,4,4,3,4,5,5,4,3,4
23,92,minority,C,1,6,5,5,3,3,5,5,6,5,6,6,6,6,5,5,6,6,6,6,5,5,6,2,2,3,5,6,5
24,93,majority,A,2,4,4,4,4,4,5,4,5,5,4,5,4,4,5,4,4,4,5,4,5,5,5,4,3,4,5,4,4
24,93,majority,C,1,7,7,7,2,1,6,6,6,6,7,7,6,7,6,7,7,6,6,6,6,7,7,1,1,1,6,7,6
24,94,majority,A,2,4,4,4,4,4,4,4,4,5,4,4,4,4,5,5,4,5,4,4,4,5,5,3,3,4,4,4,5
24,94,majority,C,1,6,6,7,2,2,6,7,7,6,6,6,6,7,6,6,6,7,7,7,6,6,6,2,2,1,6,7,6
24,95,majority,A,2,5,4,4,4,4,5,4,4,4,4,5,4,4,5,4,5,5,5,5,4,4,4,3,4,3,5,5,4
24,95,majority,C,1,6,6,7,1,1,7,7,6,7,6,7,7,7,6,7,6,7,7,6,7,7,6,1,2,1,6,6,7
24,96,minority,A,2,3,3,4,5,5,3,3,3,3,4,3,4,3,3,3,3,4,4,3,4,4,3,4,4,4,4,4,4
24,96,minority,C,1,5,6,5,3,3,6,5,5,5,6,5,6,6,6,5,6,5,6,6,6,6,5,2,3,2,5,6,6
